Name: SNc [DA], Title: Raster plot from device '95191', Hist: False
518.8 :    4 : [5865, 5889, 5911, 5919]
519.0 :    3 : [5880, 5939, 5947]
519.1 :    2 : [5879, 5917]
519.2 :    6 : [5869, 5871, 5912, 5924, 5929, 5949]
519.4 :    4 : [5868, 5882, 5896, 5905]
519.5 :    3 : [5900, 5915, 5944]
519.7 :    2 : [5898, 5902]
519.8 :    3 : [5872, 5887, 5943]
519.9 :    1 : [5956]
520.0 :    2 : [5883, 5890]
520.1 :    1 : [5953]
520.2 :    3 : [5892, 5941, 5961]
520.3 :    1 : [5942]
520.4 :    4 : [5876, 5916, 5931, 5936]
520.5 :    4 : [5873, 5884, 5909, 5955]
520.6 :    2 : [5907, 5959]
520.7 :    3 : [5899, 5901, 5946]
520.8 :    1 : [5862]
520.9 :    3 : [5865, 5937, 5940]
521.0 :    2 : [5866, 5889]
521.1 :    1 : [5880]
521.2 :    2 : [5911, 5954]
521.3 :    3 : [5869, 5912, 5924]
521.4 :    1 : [5906]
521.5 :    2 : [5882, 5926]
521.6 :    3 : [5900, 5910, 5915]
521.7 :    2 : [5925, 5932]
521.8 :    4 : [5875, 5898, 5922, 5935]
521.9 :    5 : [5872, 5894, 5919, 5950, 5952]
522.0 :    1 : [5956]
522.1 :    1 : [5879]
522.2 :    4 : [5913, 5939, 5948, 5953]
522.3 :    4 : [5892, 5917, 5929, 5941]
522.4 :    2 : [5871, 5942]
522.5 :    4 : [5916, 5931, 5947, 5949]
522.6 :    6 : [5873, 5884, 5896, 5909, 5944, 5955]
522.7 :    1 : [5868]
522.8 :    2 : [5905, 5907]
523.0 :    3 : [5887, 5902, 5937]
523.1 :    1 : [5889]
523.2 :    3 : [5883, 5890, 5943]
523.3 :    1 : [5880]
523.4 :    2 : [5936, 5959]
523.5 :    2 : [5912, 5961]
523.6 :    3 : [5876, 5924, 5926]
523.7 :    2 : [5900, 5915]
523.8 :    2 : [5925, 5932]
523.9 :    5 : [5898, 5899, 5911, 5922, 5935]
524.0 :    5 : [5862, 5872, 5894, 5919, 5952]
524.1 :    1 : [5866]
524.3 :    5 : [5901, 5906, 5913, 5940, 5948]
524.4 :    4 : [5865, 5892, 5941, 5946]
524.6 :    2 : [5947, 5949]
524.7 :    3 : [5942, 5954, 5955]
524.8 :    3 : [5868, 5884, 5910]
524.9 :    2 : [5882, 5905]
525.0 :    1 : [5869]
525.1 :    2 : [5887, 5937]
525.2 :    2 : [5875, 5907]
