Name: BNST[BNST_GABA], Title: Raster plot from device '3237', Hist: False
897.1 :    1 : [308]
897.2 :    1 : [302]
899.7 :    1 : [307]
900.9 :    1 : [298]
901.2 :    1 : [295]
901.4 :    2 : [296, 301]
901.7 :    1 : [308]
901.8 :    1 : [302]
904.8 :    1 : [307]
906.0 :    1 : [295]
906.3 :    1 : [298]
911.9 :    1 : [296]
912.3 :    2 : [301, 308]
912.5 :    1 : [302]
912.8 :    2 : [298, 307]
913.1 :    1 : [295]
915.0 :    1 : [296]
915.7 :    1 : [301]
916.0 :    1 : [308]
916.5 :    1 : [302]
917.4 :    1 : [307]
917.8 :    1 : [298]
918.2 :    1 : [295]
918.3 :    1 : [296]
927.1 :    2 : [301, 302]
927.2 :    1 : [308]
927.4 :    2 : [296, 298]
927.6 :    1 : [307]
927.8 :    1 : [295]
930.2 :    2 : [302, 308]
930.7 :    1 : [301]
930.8 :    1 : [296]
930.9 :    1 : [298]
932.0 :    1 : [307]
932.3 :    1 : [295]
935.1 :    2 : [302, 308]
935.2 :    1 : [301]
935.4 :    1 : [296]
935.5 :    1 : [298]
942.7 :    1 : [307]
943.0 :    1 : [302]
943.1 :    2 : [295, 296]
943.2 :    1 : [308]
943.4 :    2 : [298, 301]
945.8 :    1 : [307]
946.1 :    1 : [302]
946.6 :    1 : [296]
946.9 :    1 : [295]
947.8 :    1 : [308]
948.4 :    2 : [298, 301]
949.5 :    1 : [302]
950.8 :    1 : [307]
951.8 :    1 : [296]
951.9 :    1 : [295]
952.6 :    1 : [308]
958.4 :    1 : [301]
958.6 :    1 : [302]
958.8 :    2 : [296, 307]
959.1 :    1 : [295]
959.2 :    1 : [298]
959.7 :    1 : [308]
962.9 :    1 : [301]
963.2 :    2 : [296, 302]
963.5 :    1 : [307]
964.2 :    2 : [295, 298]
964.7 :    1 : [308]
973.5 :    2 : [296, 298]
973.7 :    2 : [301, 302]
973.8 :    1 : [295]
974.1 :    1 : [307]
974.2 :    1 : [308]
976.6 :    1 : [296]
976.7 :    1 : [298]
976.8 :    1 : [302]
977.1 :    1 : [301]
978.1 :    1 : [308]
978.2 :    1 : [295]
978.8 :    1 : [307]
979.5 :    1 : [296]
982.1 :    1 : [302]
982.2 :    1 : [298]
988.4 :    1 : [301]
988.7 :    1 : [295]
988.9 :    3 : [296, 307, 308]
989.3 :    1 : [302]
989.5 :    1 : [298]
991.7 :    1 : [301]
992.5 :    1 : [296]
992.7 :    1 : [295]
992.8 :    1 : [307]
993.2 :    1 : [308]
993.4 :    1 : [302]
993.8 :    1 : [298]
996.7 :    1 : [301]
996.9 :    1 : [296]
997.2 :    1 : [295]
