Name: Thalamus [Glu], Title: Raster plot from device '20337', Hist: False
314.9 :    3 : [1342, 1343, 1345]
315.0 :    6 : [1318, 1321, 1350, 1386, 1402, 1407]
315.1 :    4 : [1325, 1346, 1389, 1390]
315.2 :    4 : [1341, 1348, 1354, 1385]
315.3 :    5 : [1339, 1365, 1391, 1396, 1411]
315.4 :    4 : [1326, 1334, 1359, 1399]
315.5 :    3 : [1319, 1332, 1404]
315.6 :    6 : [1336, 1349, 1352, 1362, 1369, 1410]
315.7 :    4 : [1324, 1340, 1375, 1398]
315.8 :    3 : [1314, 1329, 1367]
315.9 :    2 : [1357, 1376]
316.0 :    8 : [1330, 1356, 1370, 1394, 1395, 1397, 1405, 1406]
316.1 :    2 : [1337, 1360]
316.2 :    2 : [1315, 1344]
316.3 :    7 : [1333, 1353, 1378, 1383, 1393, 1400, 1408]
316.4 :   12 : [1312, 1313, 1320, 1351, 1364, 1373, 1377, 1379, 1382, 1387, 1388, 1409]
316.5 :    5 : [1347, 1363, 1380, 1392, 1401]
316.6 :    6 : [1316, 1327, 1328, 1335, 1368, 1374]
316.7 :    3 : [1322, 1366, 1371]
316.8 :    8 : [1317, 1323, 1331, 1355, 1358, 1372, 1381, 1403]
316.9 :    3 : [1338, 1361, 1384]
317.0 :    3 : [1342, 1343, 1345]
317.1 :    6 : [1318, 1321, 1350, 1386, 1402, 1407]
317.2 :    4 : [1325, 1346, 1389, 1390]
317.3 :    4 : [1341, 1348, 1354, 1385]
317.4 :    5 : [1339, 1365, 1391, 1396, 1411]
317.5 :    4 : [1326, 1334, 1359, 1399]
317.6 :    3 : [1319, 1332, 1404]
317.7 :    6 : [1336, 1349, 1352, 1362, 1369, 1410]
317.8 :    4 : [1324, 1340, 1375, 1398]
317.9 :    3 : [1314, 1329, 1367]
318.0 :    2 : [1357, 1376]
318.1 :    8 : [1330, 1356, 1370, 1394, 1395, 1397, 1405, 1406]
318.2 :    2 : [1337, 1360]
318.3 :    2 : [1315, 1344]
318.4 :    7 : [1333, 1353, 1378, 1383, 1393, 1400, 1408]
318.5 :   12 : [1312, 1313, 1320, 1351, 1364, 1373, 1377, 1379, 1382, 1387, 1388, 1409]
318.6 :    5 : [1347, 1363, 1380, 1392, 1401]
318.7 :    6 : [1316, 1327, 1328, 1335, 1368, 1374]
318.8 :    3 : [1322, 1366, 1371]
318.9 :    8 : [1317, 1323, 1331, 1355, 1358, 1372, 1381, 1403]
319.0 :    3 : [1338, 1361, 1384]
319.1 :    3 : [1342, 1343, 1345]
319.2 :    6 : [1318, 1321, 1350, 1386, 1402, 1407]
319.3 :    4 : [1325, 1346, 1389, 1390]
