Name: Striatum [D1], Title: Raster plot from device '5456', Hist: False
259.5 :    1 : [929]
259.6 :    7 : [911, 952, 954, 968, 971, 973, 975]
259.7 :    4 : [906, 921, 923, 933]
259.8 :    2 : [934, 964]
259.9 :    3 : [905, 926, 937]
260.0 :    1 : [965]
260.1 :    1 : [908]
260.2 :    1 : [916]
260.3 :    3 : [889, 919, 924]
260.4 :    1 : [930]
260.5 :    4 : [890, 904, 931, 958]
260.6 :    4 : [883, 900, 915, 927]
260.7 :    4 : [901, 939, 947, 982]
260.8 :   11 : [888, 895, 897, 902, 903, 914, 928, 938, 942, 963, 976]
260.9 :   12 : [886, 893, 898, 909, 917, 922, 932, 936, 941, 955, 956, 974]
261.0 :    1 : [892]
261.1 :    6 : [887, 899, 935, 945, 972, 977]
261.2 :    8 : [885, 894, 913, 940, 946, 959, 979, 981]
261.3 :    9 : [891, 907, 912, 943, 950, 953, 960, 962, 967]
261.4 :    6 : [910, 920, 925, 948, 969, 980]
261.5 :   11 : [884, 896, 918, 944, 949, 951, 957, 961, 966, 970, 978]
261.6 :    1 : [929]
261.7 :    7 : [911, 952, 954, 968, 971, 973, 975]
261.8 :    4 : [906, 921, 923, 933]
261.9 :    2 : [934, 964]
262.0 :    3 : [905, 926, 937]
262.1 :    1 : [965]
262.2 :    1 : [908]
262.3 :    1 : [916]
262.4 :    3 : [889, 919, 924]
262.5 :    1 : [930]
262.6 :    4 : [890, 904, 931, 958]
262.7 :    4 : [883, 900, 915, 927]
262.8 :    4 : [901, 939, 947, 982]
262.9 :   11 : [888, 895, 897, 902, 903, 914, 928, 938, 942, 963, 976]
263.0 :   12 : [886, 893, 898, 909, 917, 922, 932, 936, 941, 955, 956, 974]
263.1 :    1 : [892]
263.2 :    6 : [887, 899, 935, 945, 972, 977]
263.3 :    8 : [885, 894, 913, 940, 946, 959, 979, 981]
263.4 :    9 : [891, 907, 912, 943, 950, 953, 960, 962, 967]
263.5 :    6 : [910, 920, 925, 948, 969, 980]
263.6 :   11 : [884, 896, 918, 944, 949, 951, 957, 961, 966, 970, 978]
263.7 :    1 : [929]
263.8 :    7 : [911, 952, 954, 968, 971, 973, 975]
263.9 :    4 : [906, 921, 923, 933]
264.0 :    2 : [934, 964]
264.1 :    3 : [905, 926, 937]
264.2 :    1 : [965]
264.3 :    1 : [908]
264.4 :    1 : [916]
264.5 :    3 : [889, 919, 924]
264.6 :    1 : [930]
264.7 :    4 : [890, 904, 931, 958]
264.8 :    4 : [883, 900, 915, 927]
264.9 :    4 : [901, 939, 947, 982]
265.0 :   11 : [888, 895, 897, 902, 903, 914, 928, 938, 942, 963, 976]
265.1 :   12 : [886, 893, 898, 909, 917, 922, 932, 936, 941, 955, 956, 974]
265.2 :    1 : [892]
265.3 :    6 : [887, 899, 935, 945, 972, 977]
265.4 :    8 : [885, 894, 913, 940, 946, 959, 979, 981]
